RESORT	SELL_SEQUENCE	RATE_CATEGORY	DESCR	BEGIN	END	RATE_CLASS	EXPORT_BUCKET_CODE	RATE_CODE	DESCRIPTION
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		AIRBNB	Airbnb Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR199	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR229	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR249	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR269	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR299	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR329	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR349	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR369	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR399	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR429	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR449	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR469	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR499	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR549	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR599	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR649	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR699	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR799	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR899	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		BAR999	Standard Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		DAYUSE	DAYUSE.COM
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		EVENT	City Wide Event
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		FAIL	Failed - Check Rate Code
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		FIXME	This rate came incorrectly from Synxis
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		FLEX	Flex Space
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		MANAGER	Manager Rate - House Use Only
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		PBAR	BAR
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		RECHARGE	Recharge
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		WALK	Z3 Walk Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		WFH	Work from Zetta:  Upgrade to PK or W&A room.
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		ZBAR	System Bar
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		ZDAY	Zetta Daytime Rate
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		ZZSTE	Zetta Zen Work and Play
ZETTA	1	BAR	Best Available Rate	06-21-15		ALL		ZZWELL	Zetta Zen Workout
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		AGODA	Agoda.com Standard Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		BONOT	Bonotel Standard Rates
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		BOOK	Booking.Com Standard Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		CTRIP	CTRIP Best Available Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		CUSTOM	Custom MM Smith
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		EXPED	Expedia - Standard Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		EXPHC	Expedia - Standard Rate - Hotel Collect
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		EXPINTHC	Expedia International Promotion - Hotel Collect
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		EXPPROHC	Expedia Promotional Rate - Hotel Collect
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		GETAROOM	Getaroom Direct Connect Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		HOPPER	Hopper Non Refundable Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		HT	Hotels Tonight Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		ONE	One Night
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		SMITH	Smith Hotels - Standard Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TABLET	Tablet Hotels Standard Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TABLMD	Tablet Last Minute Booking
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TWEB	Travelweb Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TZOO1	Travelzoo Best Available Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TZOO2	Travelzoo Member Rate
ZETTA	2	ADS	ADS Segment Rates	06-21-15		ALL		TZOOADV	Travelzoo Advance Purchase
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		ADV3	Advance Purchase 60 Day
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		BKADV3	Booking.com Advance Purchase 60 Day
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		GETADV	Getaroom.com Advance Purchase
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		MAGEADV	Magellan - Advance Purchase 14 Days
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		MAGEADV2	Magellan Promotion
ZETTA	3	AP	Advance Purchase	06-21-15		ALL		SMIADV3	Smith Hotels Advance Purchase 60 Day
ZETTA	4	COMP	Complimentary	06-21-15		ALL		COMP	Complimentary
ZETTA	4	COMP	Complimentary	06-21-15		ALL		GIFTCOMP	Comp Gift Certificate
ZETTA	4	COMP	Complimentary	06-21-15		ALL		HSE	House Use
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		ABC	ABC Global Services
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		ALT	Altour Preferred Rate
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		BCD	BCD Travel
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		CAPITA	Capita Travel and Events
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		CCRA	CCRA
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		CONS PARENT	Consortia Parent
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		CWT	Carlson Wagonlit Travel
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		DTRAV	Direct Travel
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		ENSBL	Ensemble Travel Group
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		FLIGHT	Flight Centre
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		HRG	HRG
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		JTB	JTB
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		OINT	Overseas International Travel
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		RMAC	Reed & Mackay
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		TAG	The Appointment Group
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		THR	THOR Consortia Rate
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		TRAVELBANK	Travel Bank
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		TSA	TravelSavers
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		TZELL	Travel Leaders Worldwide
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		TZELL2	Travel Leaders Worldwide Suites
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		WIN	WIN Travel
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		WTT	RADIUS - 1 2 Book Radius Global Hotel Program
ZETTA	5	CONS	CONSORTIA	06-21-15		ALL		XPV	Preferred Extras Amex Rate
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		ADELMAN	Adelman Hotel Collection
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		AGENCY	Agency
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		ALE	ALE Solutions
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		ALV	Allianz Negotiated Rate
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		AMOBEE	Amobee Corporate Rate
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		AOL	AOL Negotiated Rate
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		APL	Apple Negotiated Rate
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		AUS	Australia Agents
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		BBVA	BBVA
ZETTA	6	LRA	CORPORATE LRA	06-21-15		ALL		BERK	Berkshire Hathaway
