,business_date,market_code,s_rev_mkt,s_def_rooms_mkt,s_fb_rev_mkt,s_misc_rev_mkt,mkt_resort_room,guest_mkt,tot_arr_mkt,per_occ_mkt,per_double_mkt,double_occ_mkt,single_occ_mkt,guest_day,tot_arr_day,per_occ_day,per_double_occ_day,single_occ_day,s_misc_rev_day,day_resort_room,s_fb_rev_day,double_occ_day,s_rev_day,s_def_rooms_day,no_definite_rooms,in_guest,occ_single,double_occ,revenue,fb_rev,other_rev,total_revenue,per_occ,get_arr,multi_occ_per
2356,2017-07-01,GASSOC,272910.0,759.0,41187.72,6420.04,42340.0,790.0,359.565217,1.79263108,0.07321681599999999,31.0,728.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2357,2017-07-01,GCOR,1530162.34,4777.0,620649.64,130252.92,42340.0,5079.0,320.318681,11.282475199999999,0.727444497,308.0,4469.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2358,2017-07-01,GSMERF,45759.1,170.0,0.0,5278.07,42340.0,202.0,269.171176,0.40151157299999995,0.07321681599999999,31.0,139.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,2017-07-01,GWHOL,10619.0,41.0,0.0,1554.0,42340.0,41.0,259.0,0.096835144,0.0,0.0,41.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2361,2017-07-01,NEG,3133010.95,10003.0,17011.86,100826.38,42340.0,10358.0,313.207133,23.6254133,0.77231932,327.0,9676.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,6.0,6.0,6.0,0.0,1330.2,0.0,186.0,1516.2,5.17241379,221.7,0.0
2363,2017-07-01,QUAL,210660.54,785.0,0.0,17217.24,42340.0,1109.0,268.357376,1.85403873,0.630609353,267.0,518.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,2017-07-01,RETAIL,2867840.0,8986.0,500.0,288633.42,42340.0,16285.0,319.145337,21.2234294,12.0547945,5104.0,3882.0,222.0,211.321071,96.55172409999999,72.41379309999999,28.0,4003.38,116.0,0.0,84.0,23667.96,112.0,44.0,91.0,7.0,37.0,10171.45,0.0,1433.41,11604.86,37.931034499999996,231.1693182,31.8965517
2369,2017-07-02,GASSOC,272910.0,759.0,41187.72,6420.04,42340.0,790.0,359.565217,1.79263108,0.07321681599999999,31.0,728.0,172.0,213.474118,73.2758621,56.0344828,20.0,2886.17,116.0,0.0,65.0,18145.3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2370,2017-07-02,GCOR,1530162.34,4777.0,620649.64,130252.92,42340.0,5079.0,320.318681,11.282475199999999,0.727444497,308.0,4469.0,172.0,213.474118,73.2758621,56.0344828,20.0,2886.17,116.0,0.0,65.0,18145.3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2371,2017-07-02,GSMERF,45759.1,170.0,0.0,5278.07,42340.0,202.0,269.171176,0.40151157299999995,0.07321681599999999,31.0,139.0,172.0,213.474118,73.2758621,56.0344828,20.0,2886.17,116.0,0.0,65.0,18145.3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
