RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
Hotel1	1-Jan-19	1/1/19	COMP	COMP	COMP	209	138	0	1893.06	42340	154	1.51449275	0.325932924	0.028341993	12	126	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	2	2	2	0	0	0	0	0	116	1.72413793	0	0
Hotel1	1-Jan-19	1/1/19	CONT	CONT	CONT	0	0	0	0	42340	0	0	0	0	0	0	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-19	1/1/19	DISC	DISC	DISC	1894684.74	7960	0	332390.83	42340	13111	238.025721	18.8001889	9.22531885	3906	4054	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	14	37	2	12	3165.59	0	465.57	3631.16	116	12.0689655	226.1135714	10.3448276
Hotel1	1-Jan-19	1/1/19	GASSOC	GASSOC	GASSOC	807051.25	2401	63950	23092.44	42340	2405	336.131299	5.67076051	0.018894662	8	2393	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-19	1/1/19	GCOR	GCOR	GCOR	2434712.7	5972	1384429.36	154960.33	42340	5966	407.687994	14.1048654	0.087387813	37	5935	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	1	1	1	0	169	0	25	194	116	0.862068966	169	0
Hotel1	1-Jan-19	1/1/19	GSMERF	GSMERF	GSMERF	44043	189	2241	3490.39	42340	204	233.031746	0.446386396	0.047236656	20	169	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-19	1/1/19	GWHOL	GWHOL	GWHOL	22661	69	0	351	42340	69	328.42029	0.162966462	0	0	69	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-19	1/1/19	HOUSE	HOUSE	HOUSE	0	0	2919.2	31716.81	42340	0	0	0	0	0	0	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	45.02	45.02	116	0	0	0
Hotel1	1-Jan-19	1/1/19	NEG	NEG	NEG	3380123.82	9502	17761.05	159889.14	42340	9993	355.727617	22.4421351	1.09589041	464	9038	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	3	5	1	2	745.6	0	0	745.6	116	2.5862069	248.5333333	1.72413793
Hotel1	1-Jan-19	1/1/19	PSBY	PSBY	PSBY	0	0	0	0	42340	0	0	0	0	0	0	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-19	1/1/19	QUAL	QUAL	QUAL	262270.31	941	0	30798.61	42340	1101	278.714463	2.22248465	0.375531412	159	782	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	1	2	0	1	185	0	11	196	116	0.862068966	185	0.862068966
Hotel1	1-Jan-19	1/1/19	RETAIL	RETAIL	RETAIL	2826041.72	9471	0	448704.84	42340	15071	298.388947	22.3689183	10.6542277	4511	4960	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	18	39	6	12	4274.84	0	1108.14	5382.98	116	15.5172414	237.4911111	10.3448276
Hotel1	1-Jan-19	1/1/19	WHOL	WHOL	WHOL	60361.6	262	0	8927.98	42340	454	230.387786	0.618800189	0.413320737	175	87	86	0	0	218.975128	33.6206897	23.2758621	12	1654.73	116	0	27	8540.03	39	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	COMP	COMP	COMP	209	138	0	1893.06	42340	154	1.51449275	0.325932924	0.028341993	12	126	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	1	1	1	0	0	0	0	0	116	0.862068966	0	0
Hotel1	2-Jan-19	1/2/19	CONT	CONT	CONT	0	0	0	0	42340	0	0	0	0	0	0	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	DISC	DISC	DISC	1894684.74	7960	0	332390.83	42340	13111	238.025721	18.8001889	9.22531885	3906	4054	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	12	25	4	8	2284.99	0	494.06	2779.05	116	10.3448276	190.4158333	6.89655172
Hotel1	2-Jan-19	1/2/19	GASSOC	GASSOC	GASSOC	807051.25	2401	63950	23092.44	42340	2405	336.131299	5.67076051	0.018894662	8	2393	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	GCOR	GCOR	GCOR	2434712.7	5972	1384429.36	154960.33	42340	5966	407.687994	14.1048654	0.087387813	37	5935	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	29	29	29	0	9251	0	356	9607	116	25	319	0
Hotel1	2-Jan-19	1/2/19	GSMERF	GSMERF	GSMERF	44043	189	2241	3490.39	42340	204	233.031746	0.446386396	0.047236656	20	169	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	GWHOL	GWHOL	GWHOL	22661	69	0	351	42340	69	328.42029	0.162966462	0	0	69	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	HOUSE	HOUSE	HOUSE	0	0	2919.2	31716.81	42340	0	0	0	0	0	0	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	NEG	NEG	NEG	3380123.82	9502	17761.05	159889.14	42340	9993	355.727617	22.4421351	1.09589041	464	9038	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	4	6	2	2	944.6	0	110.5	1055.1	116	3.44827586	236.15	1.72413793
Hotel1	2-Jan-19	1/2/19	PSBY	PSBY	PSBY	0	0	0	0	42340	0	0	0	0	0	0	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-19	1/2/19	QUAL	QUAL	QUAL	262270.31	941	0	30798.61	42340	1101	278.714463	2.22248465	0.375531412	159	782	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	1	2	0	1	185	0	0	185	116	0.862068966	185	0.862068966
Hotel1	2-Jan-19	1/2/19	RETAIL	RETAIL	RETAIL	2826041.72	9471	0	448704.84	42340	15071	298.388947	22.3689183	10.6542277	4511	4960	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	9	18	5	4	2154.39	0	378.55	2532.94	116	7.75862069	239.3766667	3.44827586
Hotel1	2-Jan-19	1/2/19	WHOL	WHOL	WHOL	60361.6	262	0	8927.98	42340	454	230.387786	0.618800189	0.413320737	175	87	81	0	0	264.6425	48.2758621	12.9310345	41	1339.11	116	0	15	14819.98	56	0	0	0	0	0	0	0	0	0	116	0	0	0
